id,gloss,pos,official,predicted,norm_edit,branch_cov,n_langs
2837,"underline, emphasize",verb,podčrknųti,podčerknuti,0.091,2,14
1117,"sign, subscribe",verb,podpisyvati,podpisovati,0.091,2,11
2093,suspect,verb,podzrěvati,podozrevati,0.091,3,14
36780,"room, facility, premises, quarters",noun,poměščeńje,pomieščenje,0.091,2,17
33385,silver-plated,adj,posrěbrjeny,posrebreny,0.091,3,12
21034,Orthodoxy,noun,pravoslavje,pravoslavie,0.091,3,11
11302,switch,verb,prěključiti,preklučiti,0.091,2,16
36601,"revalue, reassess",verb,prěocěniti,pereoceniti,0.091,2,26
5529,"rewrite, copy",verb,prěpisyvati,prepisovati,0.091,3,9
3528,cross,verb,prěpravjati,prepravlati,0.091,1,13
1358,press release,noun,presa-reliz,pres-reliz,0.091,1,13
2931,reshuffle,verb,prěstavjati,prestavlati,0.091,1,16
1709,"afraid, scared, frightened, terrified",adj,prěstrašeny,prěstrašny,0.091,2,27
32336,"criminality, crime rate",noun,prěstųpnosť,prestapnosť,0.091,2,17
22149,transform,verb,prětvarjati,pretvarati,0.091,2,18
20078,"command, order",verb,prikazyvati,prikazovati,0.091,2,17
18487,"attribute, ascribe",verb,pripisyvati,pripisovati,0.091,3,11
21076,season,verb,pripravjati,pripravlati,0.091,1,19
4299,press,verb,pritisknųti,pritisnuti,0.091,3,19
21483,tie (to smth.),verb,privęzyvati,privezovati,0.091,3,11
36734,landing,noun,prizemjeńje,prizemlenje,0.091,2,18
26249,perforate,verb,prodiraviti,prodiraveti,0.091,2,20
5423,lose (game),verb,proigryvati,progryvati,0.091,2,10
5588,break through,verb,prolamyvati,prolamovati,0.091,2,16
36579,"glorify, extol",verb,proslavjati,proslavlati,0.091,1,33
428,"famous, glorious, acclaimed",adj,proslavjeny,proslaveny,0.091,2,26
18588,"equal, coequal",adj,råvnopravny,ravnapravny,0.091,3,14
35356,"enrage, infuriate",verb,råzběsniti,råzbjesniti,0.091,2,25
11771,"exasperate, irritate, annoy",verb,råzdražniti,råzdražiti,0.091,2,18
30198,"warm up, heat up",verb,råzgrěvati,razogrevati,0.091,3,13
33826,"throw around, scatter",verb,råzkydyvati,råzkidyvati,0.091,1,16
5589,break up,verb,råzlamyvati,råzlamovati,0.091,2,10
30464,"examine, consider",verb,råzsmotriti,råzsmotreti,0.091,1,25
21782,distance,noun,råzstojańje,råztojanje,0.091,2,18
21918,"disturb, upset, put out of tune, disorganise, disorganize",verb,råzstrojiti,råztrojiti,0.091,2,21
1866,scatter,verb,råzsypyvati,råzsypavati,0.091,1,13
3601,"extension, expansion, extension, widening",noun,råzširjeńje,råzširenje,0.091,2,21
22153,dissolve (in a liquid),verb,råztvarjati,råztvarati,0.091,2,15
16356,self-service,noun,samoobsluga,samoobsluha,0.091,1,12
12201,northeast,noun,sěveroiztok,severoistok,0.091,1,11
37379,Slavophile,noun,slovjanofil,slovanofil,0.091,3,15
4719,"Slavdom, Slavic world",noun,slovjanstvo,slovanstvo,0.091,3,17
15026,contemporary,noun,sȯvrěmennik,sovremenik,0.091,2,14
18921,"questionable, dubious",adj,sųmniteljny,somniteljny,0.091,2,17
5135,"accompany, escort, convoy",verb,sųprovoditi,soprovoditi,0.091,2,13
21898,compassion,noun,sųstradańje,sȯstradanje,0.091,2,21
5765,sovereignty,noun,suverenitet,suvrenitet,0.091,2,17
36770,television,adj,televizijny,tlevizijny,0.091,2,11
19000,"diligence, industriousness",noun,trudoljubje,trudoljubie,0.091,2,21
2948,participate,verb,učęstvovati,učastvovati,0.091,2,11
19061,pack,verb,upakovyvati,upakovivati,0.091,1,17
5877,appeasement,noun,uspokojeńje,uspokoenje,0.091,2,25
30958,"immortalise, immortalize",verb,uvěkověčiti,ovekovečiti,0.091,2,10
13576,"probability, likeliness, likelihood",noun,věrojętnosť,verojatnosť,0.091,2,15
36225,traitor,noun,věrolomnik,vjerolomnik,0.091,2,25
22376,"intestines, bowels",noun,vnųtrnosti,vnutornosti,0.091,2,25
36775,voivodship,noun,vojevodstvo,vojvodstvo,0.091,3,11
31339,"be resurrected, rise from the dead",verb,vȯzkresnųti,vȯzkrisnųti,0.091,3,15
22724,"high-flown, pompous",adj,vysokoparny,visokoparny,0.091,2,29
526,"satisfied, pleased",adj,zadovoljeny,zadovoleny,0.091,3,16
914,acrimony,noun,zajedlivosť,zajadlivosť,0.091,1,21
23715,cough,verb,zakašljati,zakašȯljati,0.091,3,9
20306,conclusion,noun,zaključeńje,zaklučenje,0.091,2,22
14105,bloodstained,adj,zakrvavjeny,zakrvaveny,0.091,1,19
9026,slowdown,noun,zamedljeńje,zamedlenje,0.091,1,16
16257,neglect,verb,zanedbyvati,zanedbavati,0.091,1,18
19401,"initiate, commence, kick off, originate, start up",verb,započinati,započinjati,0.091,2,28
22513,"seize, take possession of",verb,zavladyvati,zavladavati,0.091,2,21
31636,"ill-intentioned, evil-minded, malicious, mischievous",adj,zlonaměrny,zlonamereny,0.091,2,16
35507,breeder (of animals),noun,životinovod,životnovȯd,0.091,2,16
106,African,adj,afrikansky,afrykansky,0.100,3,11
36413,arrange (music),verb,aranževati,aranžovati,0.100,2,12
122,arrest,verb,areštovati,arestovati,0.100,1,11
36749,autistic,adj,autističny,avtističny,0.100,3,12
15773,authorities,noun,avtoritety,avtoriteti,0.100,1,20
2864,Belarusian,adj,bělorussky,belorusky,0.100,3,11
37352,"jobless, unemployed",adj,bezråbotny,bezrobotny,0.100,3,13
24659,insomnia,noun,bezsȯnnica,bezsonica,0.100,1,14
24769,heracleum,noun,bȯrščevnik,barščevnik,0.100,1,12
